Safe_ID	Original_ID
S0001	GCA_013358685.1_Antennarius_maculatus
S0002	GCA_014839685.1_Anableps_anableps
S0003	GCA_014839995.1_Xenentodon_cancila
S0004	GCA_017639675.1_Aplochiton_taeniatus
S0005	GCA_019677235.1_Micropterus_salmoides
S0006	GCA_020510985.1_Pholidichthys_leucotaenia
S0007	GCA_020745685.1_Tautogolabrus_adspersus
S0008	GCA_024256435.1_Clarias_gariepinus
S0009	GCA_027942865.1_Odontesthes_bonariensis
S0010	GCA_028022725.1_Lycodopsis_pacificus
S0011	GCA_031216445.1_Lateolabrax_maculatus
S0012	GCA_035084275.1_Hydrolagus_colliei
S0013	GCA_036784965.1_Salvelinus_alpinus
S0014	GCA_037039145.1_Fundulus_diaphanus
S0015	GCA_038024135.1_Cyprinella_venusta
S0016	GCA_038355195.1_Osmerus_mordax
S0017	GCA_040939525.1_Protopterus_annectens
S0018	GCA_041753875.1_Acanthopagrus_schlegelii
S0019	GCA_041902795.1_Electrophorus_electricus
S0020	GCA_041903045.1_Epinephelus_lanceolatus
S0021	GCA_042242135.1_Arripis_georgiana
S0022	GCA_043250625.1_Sebastes_fasciatus
S0023	GCA_044231665.1_Neosynchiropus_ocellatus
S0024	GCA_044231675.1_Synchiropus_picturatus
S0025	GCA_045362495.1_Lethrinus_nebulosus
S0026	GCA_045363895.1_Pristipomoides_typus
S0027	GCA_046255685.1_Amblyopsis_spelaea
S0028	GCA_047301625.1_Choerodon_schoenleinii
S0029	GCA_047511565.1_Polymixia_lowei
S0030	GCA_048126635.1_Spinachia_spinachia
S0031	GCA_048128725.1_Symphorus_nematophorus
S0032	GCA_048128805.1_Centroberyx_gerrardi
S0033	GCA_048129055.1_Caesio_teres
S0034	GCA_048129235.1_Epinephelus_rankini
S0035	GCA_048301445.1_Syngnathus_typhle
S0036	GCA_048301465.1_Aulostomus_maculatus
S0037	GCA_048301585.1_Rhinogobio_nasutus
S0038	GCA_048537225.1_Polymixia_cf._hollisterae
S0039	GCA_048544225.1_Coilia_mystus
S0040	GCA_048569125.1_Diretmus_argenteus
S0041	GCA_048628825.1_Menidia_menidia
S0042	GCA_048934315.1_Petromyzon_marinus
S0043	GCA_049082185.1_Cristiceps_australis
S0044	GCA_049190665.1_Lepidogalaxias_salamandroides
S0045	GCA_901001165.2_Salmo_trutta
S0046	GCA_905171665.2_Trachurus_trachurus
S0047	GCA_910589615.1_Taurulus_bubalis
S0048	GCA_910591455.2_Pholis_gunnellus
S0049	GCA_933228915.1_Telmatherina_bonti
S0050	GCA_936440315.1_Barbus_barbus
S0051	GCA_944039275.1_Danio_rerio
S0052	GCA_946808225.1_Silurus_aristotelis
S0053	GCA_947034865.1_Barbatula_barbatula
S0054	GCA_947650265.1_Symphodus_melops
S0055	GCA_949152265.1_Phoxinus_phoxinus
S0056	GCA_949319135.1_Squalius_cephalus
S0057	GCA_949357685.1_Gobio_gobio
S0058	GCA_949357725.1_Hyperoplus_immaculatus
S0059	GCA_949606895.1_Notothenia_rossii
S0060	GCA_949748355.1_Melanostigma_gelatinosum
S0061	GCA_949987555.1_Borostomias_antarcticus
S0062	GCA_949987615.1_Pollachius_pollachius
S0063	GCA_949987685.1_Ammodytes_marinus
S0064	GCA_951216825.1_Electrona_antarctica
S0065	GCA_951799395.1_Argentina_silus
S0066	GCA_951799975.1_Gobius_niger
S0067	GCA_951802725.1_Rutilus_rutilus
S0068	GCA_960531495.1_Zeus_faber
S0069	GCA_963280865.1_Gymnoscopelus_braueri
S0070	GCA_963383615.1_Lipophrys_pholis
S0071	GCA_963422515.1_Blennius_ocellaris
S0072	GCA_963454915.1_Gymnoscopelus_microlampas
S0073	GCA_963457635.1_Microchirus_variegatus
S0074	GCA_963457725.1_Sprattus_sprattus
S0075	GCA_963514005.1_Raja_brachyura
S0076	GCA_963514085.1_Chelon_labrosus
S0077	GCA_963514095.1_Eutrigla_gurnardus
S0078	GCA_963691815.1_Echiichthys_vipera
S0079	GCA_963854745.1_Scophthalmus_maximus
S0080	GCA_963921795.1_Nannobrachium_achirus
S0081	GCA_963924005.1_Protomyctophum_bolini
S0082	GCA_963969265.1_Rhamphochromis_sp._chilingali
S0083	GCA_963971535.1_Notolepis_coatsi
S0084	GCA_963989245.1_Nansenia_antarctica
S0085	GCA_963993115.1_Abramis_brama
S0086	GCA_964030765.1_Micromesistius_poutassou
S0087	GCA_964187855.1_Myxine_glutinosa
S0088	GCA_964188405.1_Protomyctophum_parallelum
S0089	GCA_964194155.1_Cetorhinus_maximus
S0090	GCA_964197995.1_Scardinius_erythrophthalmus
S0091	GCA_964198595.1_Lampetra_fluviatilis
S0092	GCA_964213995.1_Mustelus_asterias
S0093	GCA_964263955.1_Coregonus_lavaretus
S0094	GCA_964266715.1_Microstomus_kitt
S0095	GCA_964276395.1_Gasterosteus_aculeatus
S0096	GCA_964374335.1_Astatotilapia_calliptera
S0097	GCA_964638095.1_Poromitra_crassiceps
S0098	GCA_965113295.1_Leuciscus_leuciscus
S0099	GCA_965226115.1_Aulonocara_stuartgranti
S0100	GCA_965226575.1_Pagrus_pagrus
S0101	GCF_007364275.1_Archocentrus_centrarchus
S0102	GCF_009762535.1_Notolabrus_celidotus
S0103	GCF_009764475.1_Pristis_pectinata
S0104	GCF_009769545.1_Cyclopterus_lumpus
S0105	GCF_009819705.1_Hippoglossus_hippoglossus
S0106	GCF_009829125.3_Periophthalmus_magnuspinnatus
S0107	GCF_010909765.2_Amblyraja_radiata
S0108	GCF_011004845.1_Esox_lucius
S0109	GCF_013347855.1_Anguilla_anguilla
S0110	GCF_013368585.1_Megalops_cyprinoides
S0111	GCF_015220715.1_Pygocentrus_nattereri
S0112	GCF_015220745.1_Sebastes_umbrosus
S0113	GCF_017639515.1_Carcharodon_carcharias
S0114	GCF_017639745.1_Melanotaenia_boesemani
S0115	GCF_017976325.1_Chelmon_rostratus
S0116	GCF_017976425.1_Toxotes_jaculatrix
S0117	GCF_018492685.1_Alosa_sapidissima
S0118	GCF_020382885.2_Scatophagus_argus
S0119	GCF_020745735.1_Hemiscyllium_ocellatum
S0120	GCF_021462225.1_Girardinichthys_multiradiatus
S0121	GCF_023375975.1_Astyanax_mexicanus
S0122	GCF_027358585.1_Pangasianodon_hypophthalmus
S0123	GCF_027409825.1_Scomber_japonicus
S0124	GCF_027579695.1_Neoarius_graeffei
S0125	GCF_029633855.1_Hoplias_malabaricus
S0126	GCF_029633865.1_Lampris_incognitus
S0127	GCF_030014385.1_Trichomycterus_rosablanca
S0128	GCF_030028105.1_Mobula_birostris
S0129	GCF_030144855.1_Hypanus_sabinus
S0130	GCF_030463535.1_Salminus_brasiliensis
S0131	GCF_030684315.1_Stegostoma_tigrinum
S0132	GCF_035084215.1_Heptranchias_perlo
S0133	GCF_036365525.1_Heterodontus_francisci
S0134	GCF_036373705.1_Amia_calva
S0135	GCF_036971445.1_Narcine_bancroftii
S0136	GCF_037176945.1_Latimeria_chalumnae
S0137	GCF_039877785.1_Chaetodon_trifascialis
S0138	GCF_040954835.1_Lepisosteus_oculatus
S0139	GCF_042242105.1_Pempheris_klunzingeri
S0140	GCF_043641665.1_Enoplosus_armatus
S0141	GCF_044704955.1_Pristiophorus_japonicus
S0142	GCF_900324465.2_Anabas_testudineus
S0143	GCF_900324485.2_Mastacembelus_armatus
S0144	GCF_900634415.1_Cottoperca_gobio
S0145	GCF_900634625.1_Parambassis_ranga
S0146	GCF_900634775.1_Gouania_willdenowi
S0147	GCF_900634795.4_Betta_splendens
S0148	GCF_900700375.1_Denticeps_clupeoides
S0149	GCF_900747795.2_Erpetoichthys_calabaricus
S0150	GCF_900880675.1_Sparus_aurata
S0151	GCF_900963305.1_Echeneis_naucrates
S0152	GCF_900964775.1_Scleropages_formosus
S0153	GCF_901000725.2_Takifugu_rubripes
S0154	GCF_901709675.1_Syngnathus_acus
S0155	GCF_902148845.1_Salarias_fasciatus
S0156	GCF_902148855.1_Sphaeramia_orbicularis
S0157	GCF_902150065.1_Myripristis_murdjan
S0158	GCF_902167405.1_Gadus_morhua
S0159	GCF_902362185.1_Chanos_chanos
S0160	GCF_902500255.1_Thalassophryne_amazonica
S0161	GCF_902713425.1_Acipenser_ruthenus
S0162	GCF_902713615.1_Scyliorhinus_canicula
S0163	GCF_904848185.1_Acanthopagrus_latus
S0164	GCF_910596095.1_Thunnus_maccoyii
S0165	GCF_914725855.1_Thunnus_albacares
S0166	GCF_947347685.1_Pleuronectes_platessa
S0167	GCF_949316205.1_Platichthys_flesus
S0168	GCF_949316345.1_Pungitius_pungitius
S0169	GCF_958295425.1_Solea_solea
S0170	GCF_963082965.1_Carassius_carassius
S0171	GCF_963514075.1_Conger_conger
S0172	GCF_963576545.1_Limanda_limanda
S0173	GCF_963584025.1_Labrus_mixtus
S0174	GCF_963691925.1_Scomber_scombrus
S0175	GCF_963692335.1_Osmerus_eperlanus
S0176	GCF_963854185.1_Sardina_pilchardus
S0177	GCF_963924715.1_Thunnus_thynnus
S0178	GCF_963930695.1_Labrus_bergylta
